datetime,option_type,atm_term_structure
2017-07-18,沽,0.026871113102666978
2017-07-18,购,-0.006989264848428239
2017-07-19,沽,0.027082303125207353
2017-07-19,购,-0.008198001240660483
2017-07-20,沽,-0.006084819614328557
2017-07-20,购,0.01830749837179432
2017-07-21,沽,0.03519420350165507
2017-07-21,购,0.00044880022184411866
2017-07-24,沽,-0.002358328477797267
2017-07-24,购,0.020731296126012426
2017-07-25,沽,0.03660112679301818
2017-07-25,购,0.006419301854867716
2017-07-26,沽,0.04102483068342747
2017-07-26,购,0.011831417101608694
2017-07-27,沽,0.02441792887789936
2017-07-27,购,-0.01598575197157812
2017-07-28,沽,0.024630876124524366
2017-07-28,购,-0.016829775591015516
2017-07-31,沽,0.031457666806532794
2017-07-31,购,-0.022862543240821452
2017-08-01,沽,0.002976181782512355
2017-08-01,购,-0.0017200789469250313
2017-08-02,沽,0.0022178908054548557
2017-08-02,购,-0.0007246103667569517
2017-08-03,沽,0.0315485733648589
2017-08-03,购,-0.0175148136958789
2017-08-04,沽,0.029008267420982132
2017-08-04,购,-0.008412883740776499
2017-08-07,沽,0.025355553656875363
2017-08-07,购,-0.012088479476129189
2017-08-08,沽,0.027129540645127015
2017-08-08,购,-0.01366964415684362
2017-08-09,沽,0.02992932154398318
2017-08-09,购,-0.006050469152627193
2017-08-10,沽,0.030714259722541902
2017-08-10,购,-0.005809823927809678
2017-08-11,沽,0.0011850757255491978
2017-08-11,购,-0.001910525786806505
2017-08-14,沽,0.006696157130683847
2017-08-14,购,0.0031654061507642994
2017-08-15,沽,0.019368294275364285
2017-08-15,购,0.00025499753424876775
2017-08-16,沽,0.018932682032970063
2017-08-16,购,-0.000472280564787049
2017-08-17,沽,0.039901343482876196
2017-08-17,购,-0.004335144521515727
2017-08-18,沽,0.04469812749475336
2017-08-18,购,0.00028577301443768186
2017-08-21,沽,0.04191299666194533
2017-08-21,购,0.007792976996988862
2017-08-22,沽,0.039552011468752805
2017-08-22,购,-0.002516454148498652
2017-08-23,沽,0.046275467374500494
2017-08-23,购,0.0074925371133835045
2017-08-24,沽,0.0412134811647466
2017-08-24,购,-0.00953108782415825
2017-08-25,沽,0.004664161338289993
2017-08-25,购,0.004466002049454895
2017-08-28,沽,0.004590360620987069
2017-08-28,购,0.010398902107946355
2017-08-29,沽,0.005383814286730501
2017-08-29,购,0.016148912914777706
2017-08-30,沽,0.006029679946936789
2017-08-30,购,0.014509063246154905
2017-08-31,沽,0.004105286676422806
2017-08-31,购,0.015330961122128998
2017-09-01,沽,0.0023508434765669994
2017-09-01,购,0.009922623525075357
2017-09-04,沽,0.003670797067010692
2017-09-04,购,0.012089592765599497
2017-09-05,沽,0.00431915320298519
2017-09-05,购,0.013531062090480148
